timestamp,open,high,low,close,volume
2026-01-05 09:15:00,24000.0,24001.53,23997.79,23998.46,0
2026-01-05 09:16:00,23998.46,24001.25,23995.93,23996.57,0
2026-01-05 09:17:00,23996.57,24004.52,23993.46,24003.25,0
2026-01-05 09:18:00,24003.25,24005.92,24002.69,24004.74,0
2026-01-05 09:19:00,24004.74,24007.3,23993.22,23994.74,0
2026-01-05 09:20:00,23994.74,24002.81,23989.51,23997.74,0
2026-01-05 09:21:00,23997.74,23999.14,23991.48,23992.4,0
2026-01-05 09:22:00,23992.4,23993.96,23990.2,23992.12,0
2026-01-05 09:23:00,23992.12,23995.16,23990.14,23993.97,0
2026-01-05 09:24:00,23993.97,24005.95,23990.38,24004.28,0
2026-01-05 09:25:00,24004.28,24006.5,23999.53,24000.56,0
2026-01-05 09:26:00,24000.56,24002.45,23999.17,23999.92,0
2026-01-05 09:27:00,23999.92,24002.79,23995.67,23997.24,0
2026-01-05 09:28:00,23997.24,24006.98,23996.5,24004.56,0
2026-01-05 09:29:00,24004.56,24011.59,24004.42,24007.12,0
2026-01-05 09:30:00,24007.12,24021.0,24006.16,24014.96,0
2026-01-05 09:31:00,24014.96,24017.41,24012.83,24014.32,0
2026-01-05 09:32:00,24014.32,24018.71,24011.46,24013.95,0
2026-01-05 09:33:00,24013.95,24020.8,24009.63,24017.96,0
2026-01-05 09:34:00,24017.96,24020.49,24014.07,24020.14,0
2026-01-05 09:35:00,24020.14,24025.66,24018.78,24023.83,0
2026-01-05 09:36:00,24023.83,24026.73,24014.65,24016.24,0
2026-01-05 09:37:00,24016.24,24030.07,24011.87,24023.97,0
2026-01-05 09:38:00,24023.97,24029.74,24022.24,24025.41,0
2026-01-05 09:39:00,24025.41,24032.96,24012.94,24014.01,0
2026-01-05 09:40:00,24014.01,24017.37,24006.66,24009.59,0
2026-01-05 09:41:00,24009.59,24016.67,24008.85,24016.2,0
2026-01-05 09:42:00,24016.2,24023.59,24014.35,24018.81,0
2026-01-05 09:43:00,24018.81,24023.56,24014.1,24021.92,0
2026-01-05 09:44:00,24021.92,24032.48,24020.33,24029.61,0
2026-01-05 09:45:00,24029.61,24031.51,24015.24,24017.77,0
2026-01-05 09:46:00,24017.77,24018.32,24003.84,24006.9,0
2026-01-05 09:47:00,24006.9,24011.73,23997.38,23999.03,0
2026-01-05 09:48:00,23999.03,24000.01,23996.18,23998.13,0
