timestamp,open,high,low,close,volume
2026-01-05 09:15:00,24000.0,24011.59,23989.51,24007.12,0
2026-01-05 09:30:00,24007.12,24032.96,24006.16,24029.61,0
2026-01-05 09:45:00,24029.61,24031.51,23973.25,23988.95,0
2026-01-05 10:00:00,23988.95,24001.03,23973.44,23989.05,0
2026-01-05 10:15:00,23989.05,24038.22,23988.78,24037.4,0
2026-01-05 10:30:00,24037.4,24069.18,24036.63,24051.84,0
2026-01-05 10:45:00,24051.84,24056.37,23996.94,24021.78,0
2026-01-05 11:00:00,24021.78,24030.0,23999.68,24020.85,0
2026-01-05 11:15:00,24020.85,24041.94,24018.31,24033.37,0
2026-01-05 11:30:00,24033.37,24052.36,24029.12,24030.66,0
2026-01-05 11:45:00,24030.66,24039.87,23965.97,23966.41,0
2026-01-05 12:00:00,23966.41,23994.37,23942.73,23993.7,0
2026-01-05 12:15:00,23993.7,24050.72,23991.28,24033.34,0
2026-01-05 12:30:00,24033.34,24076.66,24022.0,24071.81,0
2026-01-05 12:45:00,24071.81,24105.27,24071.51,24083.96,0
2026-01-05 13:00:00,24083.96,24103.53,24075.3,24078.48,0
2026-01-05 13:15:00,24078.48,24105.92,24063.17,24105.47,0
2026-01-05 13:30:00,24105.47,24120.13,24096.68,24101.42,0
2026-01-05 13:45:00,24101.42,24129.2,24088.89,24092.48,0
2026-01-05 14:00:00,24092.48,24112.05,24077.36,24109.42,0
2026-01-05 14:15:00,24109.42,24117.98,24087.31,24111.2,0
2026-01-05 14:30:00,24111.2,24111.67,24062.8,24069.6,0
2026-01-05 14:45:00,24069.6,24084.13,24038.87,24041.44,0
2026-01-05 15:00:00,24041.44,24073.18,24038.44,24049.81,0
2026-01-05 15:15:00,24049.81,24080.25,24046.55,24074.13,0
2026-01-06 09:15:00,24074.13,24094.5,24066.3,24067.39,0
2026-01-06 09:30:00,24067.39,24092.98,24055.62,24073.13,0
2026-01-06 09:45:00,24073.13,24095.7,24066.22,24085.72,0
2026-01-06 10:00:00,24085.72,24097.52,24067.03,24086.15,0
2026-01-06 10:15:00,24086.15,24100.33,24077.43,24079.99,0
2026-01-06 10:30:00,24079.99,24086.45,24060.04,24071.38,0
2026-01-06 10:45:00,24071.38,24114.06,24064.34,24112.96,0
2026-01-06 11:00:00,24112.96,24143.81,24096.12,24116.21,0
2026-01-06 11:15:00,24116.21,24117.95,24066.82,24069.51,0
2026-01-06 11:30:00,24069.51,24082.64,24052.45,24059.49,0
2026-01-06 11:45:00,24059.49,24060.62,24026.74,24047.04,0
2026-01-06 12:00:00,24047.04,24056.55,24032.78,24046.72,0
2026-01-06 12:15:00,24046.72,24055.98,24012.09,24030.25,0
